condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,46,2.9754645229986636,frontload,0.6,0.0,0.0,1000000,100.0,-24.29140853881836,26.0,0.009999999776482582,0.009999999776482582,0.4985675811767578,0.505627453327179,0.38999998569488525,0.3799999952316284,0.6988221406936646,0.709789514541626,4.0,104.0,4.0,4.0,0.17307692766189575,54.0,0.4538435935974121,0.6000000238418579,0.0,0.0,5.447768688201904,-23.729114532470703,1.1970920151789952,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,47,2.993511300001046,frontload,0.6,0.0,0.0,1000000,100.0,-23.13805389404297,26.0,0.009999999776482582,0.009999999776482582,0.45787620544433594,0.4609818458557129,0.5199999809265137,0.5199999809265137,0.6980579495429993,0.6935047507286072,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.7430440783500671,0.6000000238418579,0.0,0.0,4.990772247314453,-23.47709846496582,1.6627266519323083,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,48,2.9944554939993395,frontload,0.6,0.0,0.0,1000000,100.0,-23.47785186767578,26.0,0.0,0.0,0.502973198890686,0.5062085390090942,0.2800000011920929,0.3199999928474426,0.7403556704521179,0.7421209812164307,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.42467552423477173,0.6000000238418579,0.0,0.0,4.8374199867248535,-24.422353744506836,1.5255427365262717,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,49,3.042515318000369,frontload,0.6,0.0,0.0,1000000,100.0,-20.468461990356445,26.0,0.009999999776482582,0.0,0.4499180018901825,0.45210373401641846,0.4699999988079071,0.4899999797344208,0.6427844166755676,0.644525408744812,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.4208727180957794,0.6000000238418579,0.0,0.0,4.969565391540527,-22.5443058013916,2.740499617935092,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,50,2.964943138000308,frontload,0.6,0.0,0.0,1000000,100.0,-22.350814819335938,26.0,0.0,0.009999999776482582,0.5025433301925659,0.5018978118896484,0.3199999928474426,0.3400000035762787,0.7109492421150208,0.7137373685836792,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.772124707698822,0.6000000238418579,0.0,0.0,5.194427967071533,-22.714452743530273,1.9805523807744627,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,51,2.863907046999884,frontload,0.6,0.0,0.0,1000000,100.0,-23.353681564331055,26.0,0.0,0.0,0.4875481128692627,0.48766446113586426,0.35999998450279236,0.3999999761581421,0.7073200941085815,0.709362804889679,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.3850548565387726,0.6000000238418579,0.0,0.0,5.386355876922607,-23.552453994750977,1.5756730189640125,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,52,2.7982006700003694,frontload,0.6,0.0,0.0,1000000,100.0,-22.67215919494629,26.0,0.0,0.0,0.45767009258270264,0.46320840716362,0.5399999618530273,0.4399999976158142,0.6681650876998901,0.6644872426986694,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.7609426975250244,0.6000000238418579,0.0,0.0,5.352779388427734,-23.433128356933594,1.8508185887549355,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,53,3.042199237999739,frontload,0.6,0.0,0.0,1000000,100.0,-23.801918029785156,26.0,0.0,0.0,0.5225367546081543,0.5248368382453918,0.4099999964237213,0.3400000035762787,0.7459039688110352,0.7465074062347412,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.6253150701522827,0.6000000238418579,0.0,0.0,5.568811893463135,-23.87148666381836,1.3947100994346464,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,54,2.799831634001748,frontload,0.6,0.0,0.0,1000000,100.0,-23.765268325805664,26.0,0.0,0.0,0.4867120683193207,0.4904550015926361,0.5,0.4099999964237213,0.7162826657295227,0.7201513648033142,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.2346305549144745,0.6000000238418579,0.0,0.0,5.3632073402404785,-22.63797378540039,1.4095063909976207,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,55,2.8365856209984486,frontload,0.6,0.0,0.0,1000000,100.0,-23.26350212097168,26.0,0.0,0.009999999776482582,0.4881397485733032,0.49621111154556274,0.29999998211860657,0.3100000023841858,0.6915991306304932,0.702180027961731,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.18110448122024536,0.6000000238418579,0.0,0.0,5.131302833557129,-23.633867263793945,1.6120804436373106,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,56,2.804997208999339,frontload,0.6,0.0,0.0,1000000,100.0,-22.556800842285156,26.0,0.0,0.0,0.48923259973526,0.48966488242149353,0.429999977350235,0.41999998688697815,0.6980316042900085,0.6918325424194336,4.0,104.0,4.0,4.0,0.17307692766189575,54.0,0.6585638523101807,0.6000000238418579,0.0,0.0,5.144217491149902,-23.44389533996582,1.8973912928933818,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,57,2.8012034210005368,frontload,0.6,0.0,0.0,1000000,100.0,-23.109691619873047,26.0,0.0,0.0,0.48175546526908875,0.4767836332321167,0.3700000047683716,0.429999977350235,0.6643247604370117,0.6687251329421997,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.6891731023788452,0.6000000238418579,0.0,0.0,5.3091230392456055,-23.287879943847656,1.6741771258090414,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,58,3.0037691370016546,frontload,0.6,0.0,0.0,1000000,100.0,-22.365497589111328,26.0,0.019999999552965164,0.009999999776482582,0.4877696633338928,0.4945557713508606,0.44999998807907104,0.4699999988079071,0.6963549852371216,0.7054007649421692,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.6943079233169556,0.6000000238418579,0.0,0.0,5.109773635864258,-23.2490234375,1.974624623686158,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,59,2.9162550310011284,frontload,0.6,0.0,0.0,1000000,100.0,-24.27935028076172,26.0,0.0,0.0,0.5254483222961426,0.5211412906646729,0.3100000023841858,0.29999998211860657,0.7300260663032532,0.7248300909996033,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.9511479139328003,0.6000000238418579,0.0,0.0,4.889434337615967,-23.095884323120117,1.201960199163441,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,60,2.800553471000967,frontload,0.6,0.0,0.0,1000000,100.0,-21.782379150390625,26.0,0.0,0.0,0.5055108070373535,0.4982779920101166,0.32999998331069946,0.3799999952316284,0.7418434023857117,0.7300492525100708,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.6430317759513855,0.6000000238418579,0.0,0.0,5.262239933013916,-23.173765182495117,2.2100423623911083,1.0,,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,61,2.885850541999389,frontload,0.6,0.0,0.0,1000000,100.0,-22.1171875,26.0,0.009999999776482582,0.0,0.46720004081726074,0.4703837037086487,0.4399999976158142,0.35999998450279236,0.6714750528335571,0.674524188041687,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.8263306021690369,0.6000000238418579,0.0,0.0,5.234616756439209,-23.760372161865234,2.0748728679441526,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,30,15.358012689999669,none,0.0,0.6,0.02,1000000,100.0,-23.59477996826172,26.0,0.0,0.009999999776482582,0.47932326793670654,0.47547608613967896,0.35999998450279236,0.38999998569488525,0.6859260201454163,0.6877065896987915,4.0,104.0,4.0,4.0,0.1538461595773697,48.0,-0.16080045700073242,0.0,0.7689782381057739,0.4932611584663391,4.929286956787109,-23.550601959228516,1.4783362906258515,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,31,2.8089018169994233,none,0.0,0.6,0.02,1000000,100.0,-23.187074661254883,26.0,0.0,0.0,0.5028321743011475,0.4928743839263916,0.41999998688697815,0.4099999964237213,0.714749276638031,0.7195385694503784,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.020239900797605515,0.0,0.7069111466407776,0.48141705989837646,5.436603546142578,-22.299415588378906,1.6429358900556492,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,32,2.805195155999172,none,0.0,0.6,0.02,1000000,100.0,-22.80390167236328,26.0,0.009999999776482582,0.0,0.4834689497947693,0.485274076461792,0.44999998807907104,0.4899999797344208,0.694171130657196,0.6982240676879883,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,-0.19004091620445251,0.0,0.7103276252746582,0.4560490846633911,5.030539035797119,-23.70127296447754,1.797631253103299,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,33,2.9557299279986182,none,0.0,0.6,0.02,1000000,100.0,-23.35344123840332,26.0,0.0,0.0,0.512416422367096,0.5045127868652344,0.2800000011920929,0.3199999928474426,0.7409330010414124,0.7373510003089905,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.04759463295340538,0.0,0.6897898316383362,0.48166340589523315,5.3246917724609375,-23.595928192138672,1.5757700438267204,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,34,3.041507713000101,none,0.0,0.6,0.02,1000000,100.0,-23.80348014831543,26.0,0.0,0.009999999776482582,0.5077033638954163,0.5037139058113098,0.29999998211860657,0.3499999940395355,0.7230356335639954,0.7105774283409119,4.0,104.0,4.0,4.0,0.15705128014087677,49.0,0.24163076281547546,0.0,0.7410742044448853,0.4890359938144684,5.056743144989014,-23.624319076538086,1.3940794378270442,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,35,2.8017601070005185,none,0.0,0.6,0.02,1000000,100.0,-23.575464248657227,26.0,0.019999999552965164,0.0,0.4864248037338257,0.4933178126811981,0.429999977350235,0.3999999761581421,0.6958093047142029,0.7044623494148254,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.09888602048158646,0.0,0.680180013179779,0.4607207775115967,5.3115105628967285,-23.285917282104492,1.486134471456361,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,36,2.8040647189991432,none,0.0,0.6,0.02,1000000,100.0,-22.891864776611328,26.0,0.009999999776482582,0.019999999552965164,0.47210001945495605,0.48289117217063904,0.47999998927116394,0.47999998927116394,0.6859109997749329,0.690213143825531,4.0,104.0,4.0,4.0,0.16025641560554504,50.0,-0.26387763023376465,0.0,0.7368192672729492,0.48409608006477356,5.026036739349365,-23.373451232910156,1.7621186132749749,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,37,2.806714104999628,none,0.0,0.6,0.02,1000000,100.0,-23.933422088623047,26.0,0.0,0.009999999776482582,0.4975549578666687,0.5012530088424683,0.3999999761581421,0.3499999940395355,0.6988940238952637,0.6949129104614258,4.0,104.0,4.0,4.0,0.16025641560554504,50.0,-0.3107600212097168,0.0,0.7376986742019653,0.47381195425987244,4.891332149505615,-23.545724868774414,1.341619018607125,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,38,2.8043321570003172,none,0.0,0.6,0.02,1000000,100.0,-22.5361270904541,26.0,0.0,0.019999999552965164,0.4601849913597107,0.46103614568710327,0.4099999964237213,0.3799999952316284,0.6680086851119995,0.6670319437980652,4.0,104.0,4.0,4.0,0.17307692766189575,54.0,0.12928426265716553,0.0,0.7243285775184631,0.47225117683410645,5.251049995422363,-22.938034057617188,1.9057377412020509,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,39,2.8791735650011105,none,0.0,0.6,0.02,1000000,100.0,-23.428895950317383,26.0,0.019999999552965164,0.0,0.4840368628501892,0.4858136773109436,0.3999999761581421,0.4099999964237213,0.6844860911369324,0.6934390068054199,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,-0.016781620681285858,0.0,0.6976187229156494,0.47675055265426636,5.27500581741333,-22.79295539855957,1.5453073170907714,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,40,2.9932131499990646,none,0.0,0.6,0.02,1000000,100.0,-23.115480422973633,26.0,0.019999999552965164,0.009999999776482582,0.48175904154777527,0.4859490990638733,0.5299999713897705,0.4899999797344208,0.7020280361175537,0.6966520547866821,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.28962746262550354,0.0,0.700468122959137,0.4972200393676758,5.048194408416748,-23.76661491394043,1.6718400586795266,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,41,2.8010672380005417,none,0.0,0.6,0.02,1000000,100.0,-23.768400192260742,26.0,0.0,0.0,0.5138837099075317,0.5092591047286987,0.3400000035762787,0.3499999940395355,0.7717791795730591,0.7544077038764954,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,-0.33694323897361755,0.0,0.7437866926193237,0.4553437829017639,5.04707670211792,-23.616920471191406,1.4082419876280448,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,42,2.7941053220001777,none,0.0,0.6,0.02,1000000,100.0,-22.477855682373047,26.0,0.0,0.0,0.46667444705963135,0.47229140996932983,0.3700000047683716,0.4099999964237213,0.6786529421806335,0.6779353022575378,4.0,104.0,4.0,4.0,0.16025641560554504,50.0,0.01698366366326809,0.0,0.7273463606834412,0.4857832193374634,4.955292224884033,-23.078523635864258,1.929263190254376,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,43,2.8026183640013187,none,0.0,0.6,0.02,1000000,100.0,-23.189359664916992,26.0,0.009999999776482582,0.009999999776482582,0.49329304695129395,0.5037265419960022,0.3999999761581421,0.3400000035762787,0.7259905934333801,0.725236177444458,4.0,104.0,4.0,4.0,0.17307692766189575,54.0,-0.33902496099472046,0.0,0.7108403444290161,0.4746454060077667,5.152216911315918,-23.75657844543457,1.64201338382133,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,44,2.988351773001341,none,0.0,0.6,0.02,1000000,100.0,-23.634443283081055,26.0,0.0,0.0,0.5031711459159851,0.504662275314331,0.4099999964237213,0.41999998688697815,0.73890620470047,0.7492809891700745,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.22543951869010925,0.0,0.733285665512085,0.47727659344673157,5.1603617668151855,-23.78221893310547,1.4623233380860623,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,45,2.9437573709983553,none,0.0,0.6,0.02,1000000,100.0,-23.445018768310547,26.0,0.009999999776482582,0.009999999776482582,0.46071574091911316,0.46192729473114014,0.4599999785423279,0.5199999809265137,0.6981096267700195,0.698034942150116,4.0,104.0,4.0,4.0,0.17628204822540283,55.0,0.017346996814012527,0.0,0.6841301918029785,0.5122848749160767,5.29131555557251,-23.391719818115234,1.5387981808648112,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,46,2.999763799998618,none,0.0,0.6,0.02,1000000,100.0,-25.001089096069336,26.0,0.0,0.0,0.5103185176849365,0.5102086663246155,0.3700000047683716,0.32999998331069946,0.7190137505531311,0.7236238121986389,4.0,104.0,4.0,4.0,0.17307692766189575,54.0,0.4548247456550598,0.0,0.6976794004440308,0.47977936267852783,5.301117897033691,-22.682292938232422,0.9105783656407817,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,47,2.9961977870007104,none,0.0,0.6,0.02,1000000,100.0,-22.49850082397461,26.0,0.019999999552965164,0.009999999776482582,0.5256727933883667,0.5223839282989502,0.29999998211860657,0.3400000035762787,0.7531746029853821,0.7508164644241333,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.151974618434906,0.0,0.7115286588668823,0.47127896547317505,5.242473125457764,-23.256433486938477,1.9209282925246007,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,48,2.7963278660008655,none,0.0,0.6,0.02,1000000,100.0,-24.61203956604004,26.0,0.0,0.0,0.533893883228302,0.5300787687301636,0.3999999761581421,0.44999998807907104,0.8240499496459961,0.820702314376831,4.0,104.0,4.0,4.0,0.16025641560554504,50.0,0.04118901863694191,0.0,0.7511544823646545,0.5010530352592468,4.7962422370910645,-24.156543731689453,1.0676462175932204,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,49,2.9563180660006765,none,0.0,0.6,0.02,1000000,100.0,-21.540239334106445,26.0,0.0,0.009999999776482582,0.4490109384059906,0.4518253803253174,0.5199999809265137,0.5,0.6580864787101746,0.6656568050384521,4.0,104.0,4.0,4.0,0.17307692766189575,54.0,0.24465924501419067,0.0,0.6961255669593811,0.46626031398773193,5.210440158843994,-22.671255111694336,2.307799531801004,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,50,2.8142742449999787,none,0.0,0.6,0.02,1000000,100.0,-23.417964935302734,26.0,0.0,0.0,0.4961123466491699,0.4952083230018616,0.35999998450279236,0.3799999952316284,0.7141114473342896,0.7139140367507935,4.0,104.0,4.0,4.0,0.17628204822540283,55.0,-0.1819019466638565,0.0,0.7230948209762573,0.48443111777305603,5.152598857879639,-22.84588050842285,1.5497204082668008,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,51,2.9955075179987034,none,0.0,0.6,0.02,1000000,100.0,-24.08802604675293,26.0,0.0,0.009999999776482582,0.4916301369667053,0.49761372804641724,0.32999998331069946,0.3799999952316284,0.7002661824226379,0.700823187828064,4.0,104.0,4.0,4.0,0.17307692766189575,54.0,-0.322431743144989,0.0,0.7096216082572937,0.48362332582473755,5.427679538726807,-23.355636596679688,1.2792020003807392,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,52,2.905085233000136,none,0.0,0.6,0.02,1000000,100.0,-22.078657150268555,26.0,0.029999999329447746,0.009999999776482582,0.46876025199890137,0.46983572840690613,0.3700000047683716,0.3499999940395355,0.6803406476974487,0.6799227595329285,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.2709727883338928,0.0,0.7165394425392151,0.4890306293964386,5.268019676208496,-23.628385543823242,2.090428417559747,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,53,2.971818848998737,none,0.0,0.6,0.02,1000000,100.0,-23.2186222076416,26.0,0.0,0.009999999776482582,0.5034431219100952,0.5047721266746521,0.3499999940395355,0.3499999940395355,0.7073836922645569,0.7072814106941223,4.0,104.0,4.0,4.0,0.17628204822540283,55.0,0.27204012870788574,0.0,0.6966185569763184,0.4897247552871704,5.282623291015625,-24.095149993896484,1.6301994517287384,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,54,2.99083923499893,none,0.0,0.6,0.02,1000000,100.0,-23.614946365356445,26.0,0.0,0.0,0.4915216565132141,0.4894925057888031,0.47999998927116394,0.3799999952316284,0.707598865032196,0.7100164890289307,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,-0.33409273624420166,0.0,0.7244559526443481,0.4865419864654541,5.295106887817383,-22.704071044921875,1.4701946725828994,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,55,2.8017653200004133,none,0.0,0.6,0.02,1000000,100.0,-22.28287124633789,26.0,0.019999999552965164,0.019999999552965164,0.4869025945663452,0.48803120851516724,0.3999999761581421,0.4399999976158142,0.6934489011764526,0.6970638632774353,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.12864114344120026,0.0,0.7134556770324707,0.4637811779975891,5.2961297035217285,-22.6246337890625,2.0079826955314894,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,56,2.8023788800001057,none,0.0,0.6,0.02,1000000,100.0,-23.85567283630371,26.0,0.0,0.0,0.5024340152740479,0.5036907196044922,0.4399999976158142,0.3999999761581421,0.7440578937530518,0.7469547986984253,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.24247300624847412,0.0,0.6986072063446045,0.47435927391052246,5.152695655822754,-22.545562744140625,1.373008101770358,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,57,2.986554156999773,none,0.0,0.6,0.02,1000000,100.0,-23.76046371459961,26.0,0.0,0.0,0.48774832487106323,0.4819229245185852,0.44999998807907104,0.4399999976158142,0.7017701268196106,0.6925851106643677,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.06981062144041061,0.0,0.7133132219314575,0.4640181064605713,5.363101482391357,-23.307064056396484,1.4114461182131883,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,58,2.798376033999375,none,0.0,0.6,0.02,1000000,100.0,-22.96402931213379,26.0,0.0,0.0,0.5064454078674316,0.510310173034668,0.38999998569488525,0.25999999046325684,0.7337250113487244,0.7276309132575989,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,-0.3302247226238251,0.0,0.6827490329742432,0.4498327374458313,4.926299095153809,-22.873212814331055,1.7329842031118143,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,59,2.9475520710002456,none,0.0,0.6,0.02,1000000,100.0,-24.01129150390625,26.0,0.0,0.0,0.51811683177948,0.5252261161804199,0.3700000047683716,0.32999998331069946,0.7323811054229736,0.745418131351471,4.0,104.0,4.0,4.0,0.16025641560554504,50.0,-0.38634639978408813,0.0,0.710957944393158,0.491374671459198,4.8488030433654785,-23.232492446899414,1.3101814230125381,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,60,2.9781219939995935,none,0.0,0.6,0.02,1000000,100.0,-22.493953704833984,26.0,0.009999999776482582,0.0,0.49640172719955444,0.49339020252227783,0.41999998688697815,0.3799999952316284,0.7057416439056396,0.7017934918403625,4.0,104.0,4.0,4.0,0.1538461595773697,48.0,-0.11612311005592346,0.0,0.7747756242752075,0.4953487515449524,4.573408126831055,-23.45602035522461,1.922764064530124,1.0,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,61,2.9963433960001566,none,0.0,0.6,0.02,1000000,100.0,-22.854938507080078,26.0,0.0,0.0,0.465729296207428,0.4676019549369812,0.41999998688697815,0.5,0.6758424043655396,0.6817118525505066,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,-0.39821940660476685,0.0,0.7083572745323181,0.473840594291687,5.28140115737915,-24.36347198486328,1.7770265604339226,1.0,,
enabled_full__base__t4m__a1p00__c0p90,extension_full,base,long4m,1.0,0.9,30,23.301720520001254,none,0.0,0.0,0.0,4000000,100.0,-23.679428100585938,26.0,0.0,0.0,0.5990906953811646,0.5958532094955444,0.23999999463558197,0.25,0.8516521453857422,0.851387083530426,4.0,104.0,4.0,4.0,0.15600000321865082,195.0,0.19352997839450836,0.0,0.0,0.0,2.7148849964141846,-23.902427673339844,,,1.4441619778720238,1.0
enabled_full__base__t4m__a1p00__c0p90,extension_full,base,long4m,1.0,0.9,31,11.293582593001702,none,0.0,0.0,0.0,4000000,100.0,-30.419057846069336,26.0,0.0,0.0,1.1509076356887817,1.086276888847351,0.07000000029802322,0.07999999821186066,1.5005323886871338,1.4337809085845947,4.0,104.0,4.0,4.0,0.14800000190734863,185.0,0.9270102977752686,0.0,0.0,0.0,1.276880145072937,-26.7275333404541,,,-1.2767747804839742,0.0
enabled_full__base__t4m__a1p00__c0p90,extension_full,base,long4m,1.0,0.9,32,12.052216694999515,none,0.0,0.0,0.0,4000000,100.0,-21.11785125732422,26.0,0.0,0.0,0.4776073098182678,0.4800512194633484,0.47999998927116394,0.4899999797344208,0.6857673525810242,0.6862183809280396,4.0,104.0,4.0,4.0,0.20239999890327454,253.0,0.4998810887336731,0.0,0.0,0.0,3.550264596939087,-21.089752197265625,,,2.4783268883191063,1.0
enabled_full__base__t4m__a1p00__c0p90,extension_full,base,long4m,1.0,0.9,33,11.230203319999418,none,0.0,0.0,0.0,4000000,100.0,-26.322509765625,26.0,0.0,0.0,0.814527153968811,0.7857568264007568,0.09999999403953552,0.14999999105930328,1.1464130878448486,1.1132762432098389,4.0,104.0,4.0,4.0,0.1703999936580658,213.0,0.638974130153656,0.0,0.0,0.0,2.5099472999572754,-24.78862953186035,,,0.3770917782722474,0.0
enabled_full__base__t4m__a1p00__c0p90,extension_full,base,long4m,1.0,0.9,34,11.889139296001304,none,0.0,0.0,0.0,4000000,100.0,-29.27618980407715,26.0,0.009999999776482582,0.009999999776482582,0.9999196529388428,0.9530409574508667,0.20999999344348907,0.19999998807907104,1.3644860982894897,1.311564326286316,4.0,104.0,4.0,4.0,0.15520000457763672,194.0,0.31489625573158264,0.0,0.0,0.0,1.1997640132904053,-25.628055572509766,,,-0.8153738159145402,0.0
enabled_full__base__t4m__a1p00__c0p90,extension_full,base,long4m,1.0,0.9,35,11.519409660000747,none,0.0,0.0,0.0,4000000,100.0,-28.536447525024414,26.0,0.0,0.0,0.8709601163864136,0.8468145132064819,0.17999999225139618,0.14999999105930328,1.2025227546691895,1.171714425086975,4.0,104.0,4.0,4.0,0.14720000326633453,184.0,0.5374090075492859,0.0,0.0,0.0,1.9050285816192627,-25.924848556518555,,,-0.5167235881133009,0.0
enabled_full__base__t4m__a1p00__c0p90,extension_full,base,long4m,1.0,0.9,36,11.70717948499987,none,0.0,0.0,0.0,4000000,100.0,-27.185585021972656,26.0,0.0,0.0,0.7241740226745605,0.7135245203971863,0.12999999523162842,0.10999999940395355,0.9829833507537842,0.9667391777038574,4.0,104.0,4.0,4.0,0.15039999783039093,188.0,0.8320515155792236,0.0,0.0,0.0,1.7473657131195068,-25.584903717041016,,,0.02864931497555968,0.0
enabled_full__base__t4m__a1p00__c0p90,extension_full,base,long4m,1.0,0.9,37,11.855550997999671,none,0.0,0.0,0.0,4000000,100.0,-27.507057189941406,26.0,0.0,0.0,0.7058130502700806,0.7018548846244812,0.19999998807907104,0.20999999344348907,1.0041061639785767,1.0039328336715698,4.0,104.0,4.0,4.0,0.14560000598430634,182.0,0.2431383728981018,0.0,0.0,0.0,1.8547002077102661,-26.561599731445312,,,-0.10113606962969322,0.0
